,Ceele_1,Ceele_2,Ceele_3,Ceele_4,Ceele_5,Ceele_6,Ceele_7,cuentos_1,cuentos_2,cuentos_3,cuentos_4,cuentos_5,cuentos_6,cuentos_7,excale_1,excale_2,excale_3,excale_4,excale_5,excale_6,excale_7
gua,1,14,17,32,13,17,40,12,5,5,2,4,3,10,1,2,5,9,5,5,3
cu,2,5,13,12,3,4,11,5,10,13,14,14,14,25,1,6,3,13,3,5,4
ja,2,18,21,36,20,18,52,18,20,6,10,12,7,7,1,6,10,14,1,7,1
fo,1,3,1,8,4,4,7,0,5,0,2,0,0,2,0,0,0,0,0,0,1
chi,2,6,6,12,5,9,21,5,3,0,0,1,0,1,0,0,3,2,2,0,0
puer,1,0,4,9,4,3,10,2,0,0,1,0,0,0,0,1,0,1,2,1,1
gar,6,11,15,28,16,4,40,4,5,13,3,3,4,7,2,8,19,21,3,4,3
bras,1,0,0,1,0,1,0,2,2,2,0,0,2,2,0,0,0,0,0,0,0
gu,4,6,9,14,9,4,27,3,9,9,16,6,4,17,1,7,5,8,8,3,1
cion,1,4,12,20,10,9,25,2,9,12,21,41,37,15,1,0,0,0,0,0,0
fi,5,7,17,37,25,15,38,2,4,9,13,36,10,8,2,7,6,7,2,2,1
dien,1,1,1,0,1,1,3,0,2,4,0,3,3,4,0,0,0,4,0,0,0
hec,3,1,0,3,0,3,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0
tor,4,9,8,16,4,3,22,2,4,2,4,4,7,1,5,20,9,19,7,14,5
ria,1,9,16,28,23,13,41,2,7,7,12,21,2,8,1,11,4,15,5,5,7
del,1,11,15,22,14,8,30,4,10,24,30,30,27,17,2,1,5,17,6,3,5
toi,1,0,2,5,0,3,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0
b,2,1,2,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tin,1,1,4,3,1,2,9,1,0,0,2,4,1,0,0,0,0,1,0,0,0
gus,3,18,28,40,10,11,52,0,2,0,0,1,2,1,0,4,1,4,2,3,4
g,1,0,0,4,0,0,4,0,0,2,0,0,0,0,0,0,2,0,0,0,0
hol,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guin,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,1,2,3,4,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0
vuz,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chias,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loc,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sos,1,2,3,9,1,6,13,0,2,4,6,11,4,2,0,0,0,2,1,1,0
sas,1,8,7,16,11,8,20,1,3,1,2,5,2,10,0,1,3,5,3,1,0
bin,1,0,0,1,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0
jus,1,1,1,5,1,1,7,0,3,1,0,0,0,0,2,1,0,1,0,0,1
rra,3,3,7,16,4,3,17,24,5,3,13,9,7,8,0,4,5,5,4,2,6
mis,1,12,17,25,9,17,45,4,9,8,3,4,10,2,2,2,1,2,3,1,1
ses,2,11,10,31,6,20,30,0,0,2,8,3,1,4,1,3,6,14,2,10,3
ban,1,2,4,12,8,8,30,3,6,6,5,2,1,5,1,2,6,10,2,5,5
tras,1,2,4,9,0,2,6,3,4,6,1,6,5,0,1,3,4,1,1,0,0
rre,1,7,5,7,4,4,13,3,2,3,2,9,2,2,0,4,12,8,2,2,4
ras,1,2,6,14,5,7,7,9,7,4,4,5,5,8,0,3,3,8,0,0,1
fuc,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nio,2,0,2,2,0,0,3,0,2,1,2,1,0,0,0,0,0,0,0,0,0
sen,1,2,4,6,3,4,11,2,4,10,9,9,10,15,0,0,2,3,2,0,1
vov,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
voy,1,4,5,9,7,4,4,3,1,0,0,0,2,0,1,4,0,3,1,0,0
lar,1,0,2,3,1,1,3,2,3,2,4,5,7,7,3,12,20,20,7,8,4
pron,1,0,0,1,0,2,2,1,3,1,0,0,0,0,3,7,12,17,9,9,5
sion,1,2,6,20,15,10,17,0,0,1,8,3,3,3,0,0,0,2,0,0,0
car,3,5,12,15,9,4,18,10,9,2,5,1,8,7,0,8,2,6,1,2,3
gil,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
gues,1,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n,1,3,2,4,0,3,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0
son,1,14,13,14,12,16,28,2,7,5,2,3,1,4,0,5,2,8,3,4,3
nue,1,6,8,6,2,6,5,2,7,1,0,5,6,3,0,1,1,4,0,0,1
trai,1,1,8,7,1,4,7,0,0,1,0,0,0,0,0,0,0,3,0,1,0
fir,1,3,0,1,0,0,0,0,0,0,1,1,2,0,0,1,1,0,0,0,0
juan,0,3,4,11,0,1,12,0,0,0,0,0,1,1,2,13,5,8,0,0,4
