,Ceele_1,Ceele_2,Ceele_3,Ceele_4,Ceele_5,Ceele_6,Ceele_7,cuentos_1,cuentos_2,cuentos_3,cuentos_4,cuentos_5,cuentos_6,cuentos_7,excale_1,excale_2,excale_3,excale_4,excale_5,excale_6,excale_7
ap,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jug,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ab,0,0,1,0,0,0,0,0,1,1,3,2,1,0,0,0,0,0,0,0,0
oy,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brah,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gou,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
my,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vann,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rac,0,0,1,0,0,0,0,0,3,0,3,2,1,0,0,0,0,0,0,0,0
ienq,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plir,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mum,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alfr,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miesqu,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quue,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sau,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
dim,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jis,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cet,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cian,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0
cual,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1
recr,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sell,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mil,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
dian,0,0,1,0,0,0,0,0,2,2,1,2,4,2,0,0,0,1,0,0,0
nuess,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dov,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
noi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gust,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gr,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oht,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dt,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rue,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
ry,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
mec,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zan,0,0,0,0,0,0,0,3,0,1,1,0,4,0,0,0,0,0,0,0,0
fui,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
prin,0,0,0,0,0,0,0,1,1,0,2,5,2,0,0,0,2,1,1,0,0
tad,0,0,0,0,0,0,0,2,0,2,0,1,7,0,0,1,0,0,0,0,0
cier,0,0,0,0,0,0,0,1,0,1,2,5,1,0,0,0,0,0,0,0,0
riz,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
nun,0,0,0,0,0,0,0,3,3,2,2,2,3,2,0,6,3,6,2,0,1
cies,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
drid,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
miau,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
uu,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
aau,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
pum,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
oo,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
zon,0,0,0,0,0,0,0,1,5,2,1,2,2,1,0,0,0,0,0,0,0
bru,0,0,0,0,0,0,0,4,6,2,0,0,3,1,0,0,0,0,0,0,1
til,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0
rrio,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,2,1,3,1
ur,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
cul,0,0,0,0,0,0,0,1,3,1,2,10,7,1,0,0,0,0,0,0,0
brien,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
bus,0,0,0,0,0,0,0,4,3,2,0,1,1,1,0,2,2,3,0,2,1
maiz,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
rru,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
rir,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,1,0
hom,0,0,0,0,0,0,0,1,11,6,1,0,1,1,0,0,0,0,0,0,0
brir,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,2,0,3,0
hier,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
rum,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
fra,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0
haz,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
pul,0,0,0,0,0,0,0,1,1,1,1,2,2,0,0,0,0,2,0,0,0
vuel,0,0,0,0,0,0,0,1,2,4,1,0,2,1,0,2,1,3,0,1,0
flors,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
heim,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
muer,0,0,0,0,0,0,0,1,1,3,2,1,6,8,0,0,0,0,0,0,0
diez,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0
biz,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
reis,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
llue,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,4,0,0,2
cai,0,0,0,0,0,0,0,1,0,1,0,2,4,1,0,2,0,1,0,0,1
drar,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ril,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
his,0,0,0,0,0,0,0,0,0,1,5,2,1,0,0,2,0,1,0,0,0
rui,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0
mur,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
tud,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0
mues,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0
tren,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0
frez,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
juz,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
nui,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
tir,0,0,0,0,0,0,0,0,1,2,2,0,2,1,0,1,0,0,0,0,0
llon,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
iz,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
quier,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1
ian,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,3,0,0,1,0
ad,0,0,0,0,0,0,0,0,2,1,2,1,1,1,0,1,0,0,0,0,0
yue,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
truc,0,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,0,0,0,0,0
tiem,0,0,0,0,0,0,0,0,3,2,8,0,1,6,0,0,2,2,1,1,1
sub,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0
fec,0,0,0,0,0,0,0,0,0,1,1,6,1,0,0,0,0,0,0,0,1
gias,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ple,0,0,0,0,0,0,0,0,0,0,4,6,1,2,1,0,1,0,0,0,0
gia,0,0,0,0,0,0,0,0,0,0,3,0,2,2,0,0,0,1,0,0,0
cluir,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
pec,0,0,0,0,0,0,0,0,2,4,4,3,3,0,0,0,0,0,0,0,0
eu,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0
met,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
nich,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
zot,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tig,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
pai,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
dac,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
gle,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
miel,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
fur,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0
bril,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
cial,0,0,0,0,0,0,0,0,1,0,2,2,3,0,0,0,0,0,0,0,0
sem,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0
flu,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
tuas,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
mol,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
obs,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
clui,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
guos,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0
hos,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,1,0,0,0
trans,0,0,0,0,0,0,0,0,1,1,2,1,4,0,0,0,0,0,0,0,0
rrir,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
gim,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
fron,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
vil,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0
rol,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
piel,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0
suel,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
lly,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
hie,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0
rior,0,0,0,0,0,0,0,0,2,0,1,1,5,1,0,0,0,0,0,0,0
grap,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
viar,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cic,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
fos,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
fil,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
sul,0,0,0,0,0,0,0,0,2,0,1,2,2,0,0,0,0,0,0,1,0
lek,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tuen,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tum,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,2,1,1,0,0
post,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
trio,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
dial,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
flic,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
fes,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
dig,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
prio,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
crip,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
hin,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
pug,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
truir,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0
grie,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
blos,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
tc,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
fac,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0
tric,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tuir,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
plio,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
fas,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
wab,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
war,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
w,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
nais,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
haus,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
xix,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
pac,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
lm,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
fluen,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
mut,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
yec,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
pyt,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
hon,0,0,0,0,0,0,0,0,2,0,0,4,0,1,0,0,0,0,0,0,0
soft,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
wa,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
dap,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
caz,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
fic,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
duc,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0
tuar,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ples,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
sig,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0
coin,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
eins,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
tein,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
paz,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
llez,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
plar,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,3,1,1,0
io,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,5,2,2,4,1,0
trom,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
duos,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
fle,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0
xio,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
drew,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
nigh,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
duz,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ii,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
sual,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
flor,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0
rep,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
rrar,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2,2,1,0
glos,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0
tier,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
hur,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
rua,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0
vein,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pers,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
duo,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
ley,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
plie,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
dual,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
trol,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
xion,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
flui,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
blor,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mus,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
sed,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0
sur,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0
gios,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
hias,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
fray,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
prior,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
frai,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
op,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
dic,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
plia,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
sui,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
zor,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
pru,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
frias,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
oh,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
nial,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mian,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
suer,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0,1,0,0,0
huer,0,0,0,0,0,0,0,0,5,1,0,0,0,2,0,0,0,0,0,0,0
pion,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
prie,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
gur,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
triun,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
rrom,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
frir,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
siar,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
riam,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sier,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
liar,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
drias,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
hun,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0
xac,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
lain,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
ads,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
blu,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
dru,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
preg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ciar,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0
noc,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
dun,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
bam,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0
raiz,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hen,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
cog,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
vam,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
clip,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
grar,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
gion,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
kah,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
vul,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
neu,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
quel,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
ui,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
rim,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
nau,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0
lei,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
mom,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
iio,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
nias,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0
dues,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
cham,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
pag,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tria,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
crei,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
guen,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
maus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
hoz,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
cruel,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
dum,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
dral,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
plen,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
rrian,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
vor,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
buir,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tac,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
frag,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
plos,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
cac,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
vios,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
zien,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
yer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
fiel,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
hues,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
fio,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
clan,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
yin,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
chou,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
sun,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
